location,Date,TMAX_F,TMIN_F,TMAX_C,TMIN_C
washington,11/1/2025,66,45,18.88888889,7.222222222
washington,11/2/2025,66,44,18.88888889,6.666666667
washington,11/3/2025,65,52,18.33333333,11.11111111
washington,11/4/2025,65,49,18.33333333,9.444444444
washington,11/5/2025,73,42,22.77777778,5.555555556
washington,11/6/2025,61,44,16.11111111,6.666666667
washington,11/7/2025,65,38,18.33333333,3.333333333
washington,11/8/2025,71,55,21.66666667,12.77777778
washington,11/9/2025,64,50,17.77777778,10
washington,11/10/2025,55,37,12.77777778,2.777777778
washington,11/11/2025,47,31,8.333333333,-0.555555556
washington,11/12/2025,62,37,16.66666667,2.777777778
washington,11/13/2025,60,43,15.55555556,6.111111111
washington,11/14/2025,57,35,13.88888889,1.666666667
washington,11/15/2025,65,49,18.33333333,9.444444444
washington,11/16/2025,66,45,18.88888889,7.222222222
washington,11/17/2025,52,41,11.11111111,5
washington,11/18/2025,50,33,10,0.555555556
washington,11/19/2025,50,43,10,6.111111111
washington,11/20/2025,49,42,9.444444444,5.555555556
washington,11/21/2025,56,47,13.33333333,8.333333333
washington,11/22/2025,59,45,15,7.222222222
washington,11/23/2025,64,43,17.77777778,6.111111111
washington,11/24/2025,59,41,15,5
washington,25-Nov,55,45,12.77777778,7.222222222
washington,11/26/2025,72,48,22.22222222,8.888888889
washington,11/27/2025,48,37,8.888888889,2.777777778
washington,11/28/2025,44,32,6.666666667,0
washington,11/29/2025,44,30,6.666666667,-1.111111111
washingtton,11/30/2025,44,37,6.666666667,2.777777778
washington,12/1/2025,46,34,7.777777778,1.111111111
washington,12/2/2025,42,36,5.555555556,2.222222222
washington,12/3/2025,46,30,7.777777778,-1.111111111
washington,12/4/2025,46,30,7.777777778,-1.111111111
washington,12/5/2025,34,28,1.111111111,-2.222222222
washington,6-Dec,44,31,6.666666667,-0.555555556
washington,12/7/2025,43,29,6.111111111,-1.666666667
washington,12/8/2025,37,26,2.777777778,-3.333333333
washington,12/9/2025,33,20,0.555555556,-6.666666667
washington,12/10/2025,45,31,7.222222222,-0.555555556
washington,12/11/2025,44,34,6.666666667,1.111111111
washington,12/12/2025,39,29,3.888888889,-1.666666667
washington,12/13/2025,44,28,6.666666667,-2.222222222
washington,12/14/2025,38,18,3.333333333,-7.777777778
washington,12/15/2025,29,18,-1.666666667,-7.777777778
washington,12/16/2025,40,22,4.444444444,-5.555555556
washington,12/17/2025,51,28,10.55555556,-2.222222222
washington,12/18/2025,57,28,13.88888889,-2.222222222
washington,12/19/2025,60,36,15.55555556,2.222222222
washington,12/20/2025,45,28,7.222222222,-2.222222222
washington,12/21/2025,51,33,10.55555556,0.555555556
washington,12/22/2025,46,28,7.777777778,-2.222222222
washington,12/23/2025,43,38,6.111111111,3.333333333
washington,24-Dec,57,36,13.88888889,2.222222222
washington,12/25/2025,60,38,15.55555556,3.333333333
